route_idx,route_name,svc,region_idx,region,sort_idx,carriers,port_rotation,frequency,duration,ships,updated_at
166,New Fareast Straits/Korea China Straits 2/Korea China Straits Service / Korea Malaysia Vietnam 2 (NFS/KC2/KCS/KMV2/KCM4),NFS,43,SE Asia,5,Namsung / ONE / PIL / TSL / KMTC ,"Busan,Incheon,Qingdao,Shanghai,Singapore,Port Klang Westport,Ho Chi Minh City,Shekou,Busan",7,28,"4 x 2,633 teu",
167,New Korea-Thailand (NKT),NKT,44,SE Asia,5,KMTC / CK Line / Namsung ,"Incheon,Kwangyang,Busan,Hong Kong,Shekou,Laem Chabang,Bangkok,Laem Chabang,Ho Chi Minh City,Incheon",7,21,"3 x 1,833 teu",
168,North East Asia-South East Asia Service B (NSB),NSB,45,SE Asia,5,Evergreen,"Kwangyang,Busan,Shanghai,Kaohsiung,Pasir Gudang,Port Klang Northport,Port Klang Westport,Tanjung Pelepas,Singapore,Manila North,Kaohsiung,Kwangyang",7,28,"4 x 3,110 teu",
169,PERTIWI Service,PERTWI,46,SE Asia,5,MSC,"Busan,Dalian,Xingang,Incheon,Qingdao,DaChan Bay,Cai Mep,Laem Chabang,Singapore,Panjang,Jakarta,Singapore,Tanjung Pelepas,Cai Mep,Busan",7,49,"7 x 3,846 teu",
170,Pusan China Indonesia (PCI),PCI,47,SE Asia,5,Sinokor / Heung-A,"Busan,Kwangyang,Shanghai,Jakarta,Surabaya,Ho Chi Minh City,Shanghai,Busan",7,28,"4 x 2,604 teu",
171,Pusan China Indonesia 2 (PCI2),PCI2,48,SE Asia,5,Sinokor,"Busan,Ulsan,Kwangyang,Shanghai,Jakarta,Ho Chi Minh City,Ningbo,Shanghai,Busan",7,28,"4 x 2,174 teu",
172,Pusan Manila Express (PMX),PMX,49,SE Asia,5,KMTC,"Busan,Manila South,Busan",7,14,"2 x 1,000 teu",
173,RCL Thailand Manila Service (RLM2) / China Thailand Philippines (CTP),CTP,50,SE Asia,5,ONE / RCL ,"Qingdao,Busan,Shanghai,Laem Chabang,Cai Mep,Manila,Subic Bay,Qingdao",7,28,"4 x 2,419 teu",
174,Vietnam Thailand Express (VTX),VTX,51,SE Asia,5,SMLine / Namsung / Pan Ocean ,"Kwangyang,Busan,Shanghai,Ho Chi Minh City,Bangkok,Laem Chabang,Ho Chi Minh City,Kwangyang",7,21,"3 x 1,794 teu",
175,Vietnam-Thailand service (VTS),VTS,52,SE Asia,5,KMTC / Sinokor / CK Line ,"Busan,Kwangyang,Hong Kong,Ho Chi Minh City,Laem Chabang,Bangkok,Laem Chabang,Hong Kong,Xiamen,Busan",7,21,"3 x 1,778 teu",
